date,adj_close
2005-09-02,1.3824
2005-09-09,1.5346
2005-09-16,1.5316
2005-09-23,1.5911
2005-09-30,1.6034
2005-10-07,1.5343
2005-10-14,1.615
2005-10-21,1.6647
2005-10-28,1.6291
2005-11-04,1.8289
2005-11-11,1.8406
2005-11-18,1.9309
2005-11-25,2.0738
2005-12-02,2.1722
2005-12-09,2.2231
2005-12-16,2.1268
2005-12-23,2.1938
2005-12-30,2.1501
2006-01-06,2.282
2006-01-13,2.5598
2006-01-20,2.2757
2006-01-27,2.1543
2006-02-03,2.1488
2006-02-10,2.0131
2006-02-17,2.1023
2006-02-24,2.1372
2006-03-03,2.0254
2006-03-10,1.8899
2006-03-17,1.9339
2006-03-24,1.7933
2006-03-31,1.8758
2006-04-07,2.0873
2006-04-13,1.988
2006-04-21,2.0051
2006-04-28,2.1052
2006-05-05,2.1501
2006-05-12,2.0248
2006-05-19,1.9294
2006-05-26,1.9006
2006-06-02,1.8441
2006-06-09,1.7801
2006-06-16,1.7215
2006-06-23,1.7595
2006-06-30,1.7128
2006-07-07,1.6569
2006-07-14,1.5155
2006-07-21,1.816
2006-07-28,1.9617
2006-08-04,2.0427
2006-08-11,1.9037
2006-08-18,2.0311
2006-08-25,2.0562
2006-09-01,2.0451
2006-09-08,2.1689
2006-09-15,2.2162
2006-09-22,2.1833
2006-09-29,2.3023
2006-10-06,2.2198
2006-10-13,2.2437
2006-10-20,2.3912
2006-10-27,2.4049
2006-11-03,2.3415
2006-11-10,2.486
2006-11-17,2.5676
2006-11-24,2.7405
2006-12-01,2.7312
2006-12-08,2.6397
2006-12-15,2.6236
2006-12-22,2.4585
2006-12-29,2.5374
2007-01-05,2.5437
2007-01-12,2.8299
2007-01-19,2.6469
2007-01-26,2.5536
2007-02-02,2.5347
2007-02-09,2.4905
2007-02-16,2.5371
2007-02-23,2.6639
2007-03-02,2.5545
2007-03-09,2.631
2007-03-16,2.6795
2007-03-23,2.797
2007-03-30,2.7788
2007-04-05,2.8317
2007-04-13,2.6989
2007-04-20,2.7208
2007-04-27,2.9884
2007-05-04,3.0151
2007-05-11,3.2522
2007-05-18,3.2905
2007-05-25,3.3982
2007-06-01,3.5411
2007-06-08,3.7233
2007-06-15,3.6039
2007-06-22,3.6787
2007-06-29,3.65
2007-07-06,3.9569
2007-07-13,4.1193
2007-07-20,4.2993
2007-07-27,4.3023
2007-08-03,3.9434
2007-08-10,3.7385
2007-08-17,3.6506
2007-08-24,4.0466
2007-08-31,4.1417
2007-09-07,3.941
2007-09-14,4.1516
2007-09-21,4.3113
2007-09-28,4.59
2007-10-05,4.8287
2007-10-12,5.0023
2007-10-19,5.097
2007-10-26,5.5241
2007-11-02,5.6189
2007-11-09,4.9459
2007-11-16,4.9764
2007-11-23,5.1305
2007-11-30,5.4499
2007-12-07,5.8112
2007-12-14,5.6942
2007-12-21,5.7995
2007-12-28,5.9766
2008-01-04,5.385
2008-01-11,5.1649
2008-01-18,4.826
2008-01-25,3.8884
2008-02-01,4.0002
2008-02-08,3.7529
2008-02-15,3.7275
2008-02-22,3.5728
2008-02-29,3.7391
2008-03-07,3.6563
2008-03-14,3.7867
2008-03-20,3.9859
2008-03-28,4.2772
2008-04-04,4.5784
2008-04-11,4.4007
2008-04-18,4.8164
2008-04-25,5.0763
2008-05-02,5.4116
